Format Version,1.25,Take Name,Take 2026-04-16 04.29.11 PM Shannon,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-16 04.29.41.975 PM,Capture Start Frame,2074563,Total Frames in Take,9187,Total Exported Frames,9187,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone:Marker 001,fakeDrone:Marker 001,fakeDrone:Marker 001,fakeDrone:Marker 002,fakeDrone:Marker 002,fakeDrone:Marker 002,fakeDrone:Marker 003,fakeDrone:Marker 003,fakeDrone:Marker 003,fakeDrone:Marker 004,fakeDrone:Marker 004,fakeDrone:Marker 004,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028
,ID,93C72B6838D511F15DA72CBF6EB048B2,93C72B6838D511F15DA72CBF6EB048B2,93C72B6838D511F15DA72CBF6EB048B2,93C72B6838D511F15DA72CBF6EB048B2,93C72B6838D511F15DA72CBF6EB048B2,93C72B6838D511F15DA72CBF6EB048B2,93C72B6838D511F15DA72CBF6EB048B2,"93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2",8E14E2A339A011F15DA72CBF6EB04AB2,8E14E2A339A011F15DA72CBF6EB04AB2,8E14E2A339A011F15DA72CBF6EB04AB2,8E14E2A339A011F15DA72CBF6EB04AB2,8E14E2A339A011F15DA72CBF6EB04AB2,8E14E2A339A011F15DA72CBF6EB04AB2,8E14E2A339A011F15DA72CBF6EB04AB2,"8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","B46B5D9B39A011F1:5DA72CBF6EB04AB2","B46B5D9B39A011F1:5DA72CBF6EB04AB2","B46B5D9B39A011F1:5DA72CBF6EB04AB2","B46B5D9C39A011F1:5DA72CBF6EB04AB2","B46B5D9C39A011F1:5DA72CBF6EB04AB2","B46B5D9C39A011F1:5DA72CBF6EB04AB2","B46B5D9D39A011F1:5DA72CBF6EB04AB2","B46B5D9D39A011F1:5DA72CBF6EB04AB2","B46B5D9D39A011F1:5DA72CBF6EB04AB2","B46B5D9E39A011F1:5DA72CBF6EB04AB2","B46B5D9E39A011F1:5DA72CBF6EB04AB2","B46B5D9E39A011F1:5DA72CBF6EB04AB2","42A:614119D7397011F1","42A:614119D7397011F1","42A:614119D7397011F1","434:614119D7397011F1","434:614119D7397011F1","434:614119D7397011F1","43D:614119D7397011F1","43D:614119D7397011F1","43D:614119D7397011F1","443:614119D7397011F1","443:614119D7397011F1","443:614119D7397011F1","444:614119D7397011F1","444:614119D7397011F1","444:614119D7397011F1"
,Parent,,,,,,,,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,,,,,,,,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.061081,0.436466,-0.689148,0.575189,1441.210815,1505.772217,-2561.427734,1398.729858,1532.211060,-2625.581543,1466.152710,1526.694092,-2519.536377,1413.495605,1473.469971,-2611.100830,1486.465454,1490.713501,-2489.492432,1398.652832,1532.114014,-2625.566650,1466.347900,1526.733765,-2519.462891,1413.597046,1473.554199,-2611.038574,1486.231812,1490.687622,-2489.656982,1819.325317,1567.348999,-2801.747070,,,,,,,,,,,,
1,0.010000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.063174,0.434863,-0.688586,0.576848,1438.664551,1506.625977,-2561.781006,1396.560913,1533.057739,-2626.185791,1463.325195,1527.549927,-2519.724365,1411.289551,1474.322998,-2611.641602,1483.482666,1491.573242,-2489.571533,1396.329346,1532.958862,-2626.131348,1463.797485,1527.704834,-2519.721924,1411.491333,1474.382324,-2611.623291,1483.044189,1491.463379,-2489.657715,1819.352417,1567.370605,-2801.707031,,,,,,,,,,,,
2,0.020000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.065740,0.433324,-0.686628,0.580044,1436.272217,1507.479736,-2562.148682,1394.594849,1533.872192,-2626.846191,1460.492554,1528.416992,-2519.843506,1409.450928,1475.169067,-2612.304443,1480.550781,1492.460693,-2489.600098,1394.468628,1533.855957,-2626.778564,1460.772827,1528.581177,-2519.837158,1409.624634,1475.135742,-2612.235107,1480.207397,1492.346436,-2489.767578,1819.350464,1567.374878,-2801.703613,,,,,,,,,,,,
3,0.030000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.068275,0.432730,-0.683276,0.584139,1433.706055,1508.216064,-2562.505127,1392.366455,1534.599121,-2627.422852,1457.428589,1529.136108,-2519.910400,1407.529175,1475.939453,-2613.021973,1477.500122,1493.189209,-2489.664551,1392.320435,1534.521484,-2627.355713,1457.535889,1529.195190,-2519.963379,1407.730347,1476.047974,-2612.797852,1477.216675,1493.100098,-2489.915039,1819.374878,1567.376465,-2801.702637,,,,,,,,,,,,
4,0.040000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.069338,0.430113,-0.687079,0.581479,1431.149414,1508.939697,-2562.910889,1390.166626,1535.365845,-2628.036865,1454.995728,1529.861206,-2520.385986,1404.755615,1476.643677,-2613.302490,1474.679565,1493.888062,-2489.917480,1390.257446,1535.449463,-2627.955811,1454.935913,1529.902710,-2520.360107,1404.776978,1476.514404,-2613.218750,1474.629272,1493.888672,-2490.118164,1819.341797,1567.352051,-2801.714844,,,,,,,,,,,,
