Format Version,1.25,Take Name,Take 2026-04-16 04.29.11 PM Shannon_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-16 05.00.04.041 PM,Capture Start Frame,2256765,Total Frames in Take,11802,Total Exported Frames,11802,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone:Marker 001,fakeDrone:Marker 001,fakeDrone:Marker 001,fakeDrone:Marker 002,fakeDrone:Marker 002,fakeDrone:Marker 002,fakeDrone:Marker 003,fakeDrone:Marker 003,fakeDrone:Marker 003,fakeDrone:Marker 004,fakeDrone:Marker 004,fakeDrone:Marker 004,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1054,Unlabeled 1054,Unlabeled 1054,Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064
,ID,93C72B6838D511F15DA72CBF6EB048B2,93C72B6838D511F15DA72CBF6EB048B2,93C72B6838D511F15DA72CBF6EB048B2,93C72B6838D511F15DA72CBF6EB048B2,93C72B6838D511F15DA72CBF6EB048B2,93C72B6838D511F15DA72CBF6EB048B2,93C72B6838D511F15DA72CBF6EB048B2,"93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2","93C72B6838D511F1:5DA72CBF6EB048B2",8E14E2A339A011F15DA72CBF6EB04AB2,8E14E2A339A011F15DA72CBF6EB04AB2,8E14E2A339A011F15DA72CBF6EB04AB2,8E14E2A339A011F15DA72CBF6EB04AB2,8E14E2A339A011F15DA72CBF6EB04AB2,8E14E2A339A011F15DA72CBF6EB04AB2,8E14E2A339A011F15DA72CBF6EB04AB2,"8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","8E14E2A339A011F1:5DA72CBF6EB04AB2","F274CBA939A411F1:5DA72CBF6EB04AB2","F274CBA939A411F1:5DA72CBF6EB04AB2","F274CBA939A411F1:5DA72CBF6EB04AB2","F274CBAA39A411F1:5DA72CBF6EB04AB2","F274CBAA39A411F1:5DA72CBF6EB04AB2","F274CBAA39A411F1:5DA72CBF6EB04AB2","F274CBAB39A411F1:5DA72CBF6EB04AB2","F274CBAB39A411F1:5DA72CBF6EB04AB2","F274CBAB39A411F1:5DA72CBF6EB04AB2","F274CBAC39A411F1:5DA72CBF6EB04AB2","F274CBAC39A411F1:5DA72CBF6EB04AB2","F274CBAC39A411F1:5DA72CBF6EB04AB2","45B:614119D7397011F1","45B:614119D7397011F1","45B:614119D7397011F1","46A:614119D7397011F1","46A:614119D7397011F1","46A:614119D7397011F1","46B:614119D7397011F1","46B:614119D7397011F1","46B:614119D7397011F1","46C:614119D7397011F1","46C:614119D7397011F1","46C:614119D7397011F1","46D:614119D7397011F1","46D:614119D7397011F1","46D:614119D7397011F1","480:614119D7397011F1","480:614119D7397011F1","480:614119D7397011F1","481:614119D7397011F1","481:614119D7397011F1","481:614119D7397011F1","482:614119D7397011F1","482:614119D7397011F1","482:614119D7397011F1","483:614119D7397011F1","483:614119D7397011F1","483:614119D7397011F1","488:614119D7397011F1","488:614119D7397011F1","488:614119D7397011F1","489:614119D7397011F1","489:614119D7397011F1","489:614119D7397011F1","48A:614119D7397011F1","48A:614119D7397011F1","48A:614119D7397011F1"
,Parent,,,,,,,,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,fakeDrone,,,,,,,,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,-0.005136,-0.856414,0.050079,-0.513830,2256.026611,1010.851135,-1373.415649,2175.078613,1015.561707,-1366.736572,2298.133789,1010.649658,-1341.141235,2208.960205,1011.597900,-1418.838013,2341.933350,1005.595337,-1366.946655,,,,,,,,,,,,,2616.272949,1567.729370,-3159.757812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,-0.005136,-0.856414,0.050079,-0.513830,2256.026611,1010.851135,-1373.415649,2175.078613,1015.561707,-1366.736572,2298.133789,1010.649658,-1341.141235,2208.960205,1011.597900,-1418.838013,2341.933350,1005.595337,-1366.946655,,,,,,,,,,,,,2616.270508,1567.741699,-3159.815430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,-0.005136,-0.856414,0.050079,-0.513830,2256.026611,1010.851135,-1373.415649,2175.078613,1015.561707,-1366.736572,2298.133789,1010.649658,-1341.141235,2208.960205,1011.597900,-1418.838013,2341.933350,1005.595337,-1366.946655,,,,,,,,,,,,,2616.302734,1567.736450,-3159.877686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,-0.005136,-0.856414,0.050079,-0.513830,2256.026611,1010.851135,-1373.415649,2175.078613,1015.561707,-1366.736572,2298.133789,1010.649658,-1341.141235,2208.960205,1011.597900,-1418.838013,2341.933350,1005.595337,-1366.946655,,,,,,,,,,,,,2616.297119,1567.721313,-3159.929199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,-0.005136,-0.856414,0.050079,-0.513830,2256.026611,1010.851135,-1373.415649,2175.078613,1015.561707,-1366.736572,2298.133789,1010.649658,-1341.141235,2208.960205,1011.597900,-1418.838013,2341.933350,1005.595337,-1366.946655,,,,,,,,,,,,,2616.327881,1567.746826,-3159.963867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
