"Refs","Value","Footprint","Qty"
"C1","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"C2","100n","Capacitor_SMD:C_0805_2012Metric","1"
"D1-D4","IR 850nm","","4"
"J1","FROM DRIVER","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1"
"Q1","MMBT2222A","Package_TO_SOT_SMD:SOT-23","1"
"Q2","MMBT3904","Package_TO_SOT_SMD:SOT-23","1"
"R1","680","Resistor_SMD:R_0805_2012Metric","1"
"R2","6R8 1%","Resistor_SMD:R_1206_3216Metric","1"
"R3","DNP (trim)","Resistor_SMD:R_1206_3216Metric","1"
"TP1","I_SENSE","TestPoint:TestPoint_Pad_D1.5mm","1"
"TP2","GND","TestPoint:TestPoint_Pad_D1.5mm","1"
