"Refs","Value","Package","Qty"
"C1","1000u/16V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1"
"C2,C4","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","2"
"C3","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"C5","10n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1"
"C6","470n film","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","1"
"D1","1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1"
"D2","PWR green","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1"
"D3","1N4148","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","1"
"F1","500mA","Fuse:Fuse_Bourns_MF-RG300","1"
"J1","9V IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","1"
"J2","MARKER A (origin)","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1"
"J3","MARKER B","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1"
"J4","MARKER C (+X)","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1"
"J5","MARKER D (+Y)","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1"
"Q1","IRF540N","Package_TO_SOT_THT:TO-220-3_Vertical","1"
"R1","3k3","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R2","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R3","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R4","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R5","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R10","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"SW1","POWER","Button_Switch_THT:SW_Slide_SPDT_Angled_CK_OS102011MA1Q","1"
"TP1","OUT","TestPoint:TestPoint_Pad_D1.5mm","1"
"TP2","LED_RTN","TestPoint:TestPoint_Pad_D1.5mm","1"
"TP3","GND","TestPoint:TestPoint_Pad_D1.5mm","1"
"U1","TLC555CP","Package_DIP:DIP-8_W7.62mm_Socket","1"
